CONDTION,NUM_SCREENS
L,1
L,4
W,0
L,0
L,3
L,0
W,0
L,0
W,0
W,0
W,0
L,0
L,0
L,1
L,6
L,0
W,0
W,0
L,4
L,0
W,43
L,2
L,3
W,0
W,1
W,0
W,5
L,4
W,0
L,7
W,0
L,0
L,1
L,0
W,0
L,0
W,0
W,0
W,0
W,0
L,0
W,0
L,1
W,0
W,0
W,0
L,0
W,0
L,3
L,0
W,1
L,0
W,0
L,176
L,0
W,0
L,1
W,1
L,0
L,0
W,0
L,2
W,0
W,6
L,0
L,0
W,0
W,0
W,0
W,0
L,2
W,0
L,58
L,9
L,0
W,0
L,0
L,0
W,0
L,27
L,0
W,0
L,0
L,3
L,2
L,0
W,0
L,9
W,0
L,6
W,0
W,0
L,17
W,0
W,0
W,0
L,0
L,0
L,0
L,0
W,0
L,0
W,1
W,0
L,0
L,30
L,5
W,55
L,0
L,1
L,0
L,31
W,0
W,1
L,1
W,7
L,1
W,7
L,54
W,0
W,0
W,12
W,0
L,0
L,0
W,0
W,0
L,0
W,2
