group,hcvknowl,test
1,-16.66666667,0
1,25,0
1,25,0
1,-16.66666667,0
1,-16.66666667,0
1,0,0
1,8.333333333,0
1,8.333333333,0
1,-16.66666667,0
1,33.33333333,0
2,-8.333333333,0
2,8.333333333,0
2,-16.66666667,0
2,0,0
2,8.333333333,0
2,-8.333333333,0
2,66.66666667,0
2,0,0
2,8.333333333,0
2,-16.66666667,0
2,-16.66666667,0
2,0,0
2,16.66666667,0
2,8.333333333,0
2,25,0
2,0,0
2,58.33333333,0
2,-25,0
2,25,0
2,16.66666667,0
2,8.333333333,0
2,-16.66666667,0
2,25,0
2,-8.333333333,0
2,8.333333333,0
2,0,0
2,16.66666667,0
2,-8.333333333,0
2,8.333333333,0
2,-33.33333333,0
2,-25,0
2,-50,0
2,-8.333333333,0
2,-8.333333333,0
2,-16.66666667,0
2,-16.66666667,0
2,0,0
2,-8.333333333,0
2,0,0
2,0,0
2,-58.33333333,0
2,-8.333333333,0
2,16.66666667,0
1,58.33333333,1
1,-8.333333333,1
1,8.333333333,1
1,0,1
1,25,1
1,8.333333333,1
1,8.333333333,1
1,50,1
1,8.333333333,1
1,16.66666667,1
1,41.66666667,1
1,58.33333333,1
1,8.333333333,1
1,-25,1
1,25,1
1,8.333333333,1
1,-8.333333333,1
1,41.66666667,1
1,16.66666667,1
1,25,1
1,16.66666667,1
1,8.333333333,1
1,25,1
1,25,1
1,58.33333333,1
1,8.333333333,1
1,25,1
1,0,1
1,8.333333333,1
1,8.333333333,1
1,16.66666667,1
1,33.33333333,1
1,8.333333333,1
1,75,1
1,0,1
1,8.333333333,1
1,8.333333333,1
1,33.33333333,1
1,-8.333333333,1
1,16.66666667,1
1,16.66666667,1
1,0,1
1,-16.66666667,1
1,8.333333333,1
1,8.333333333,1
1,50,1
1,16.66666667,1
1,8.333333333,1
1,-8.333333333,1
1,8.333333333,1
1,-16.66666667,1
1,8.333333333,1
1,0,1
1,50,1
1,16.66666667,1
1,25,1
1,33.33333333,1
1,41.66666667,1
1,0,1
1,-8.333333333,1
1,50,1
1,58.33333333,1
1,16.66666667,1
1,16.66666667,1
1,-16.66666667,1
1,8.333333333,1
1,16.66666667,1
1,25,1
1,0,1
1,8.333333333,1
1,16.66666667,1
1,16.66666667,1
1,33.33333333,1
1,8.333333333,1
1,-25,1
1,8.333333333,1
1,-8.333333333,1
1,33.33333333,1
1,50,1
1,0,1
1,25,1
1,33.33333333,1
1,0,1
1,25,1
1,0,1
1,16.66666667,1
1,-8.333333333,1
1,8.333333333,1
1,0,1
1,16.66666667,1
1,-8.333333333,1
1,33.33333333,1
1,16.66666667,1
1,16.66666667,1
1,0,1
1,-8.333333333,1
1,0,1
2,-25,1
2,-8.333333333,1
2,-25,1
2,58.33333333,1
2,0,1
2,0,1
2,0,1
2,8.333333333,1
2,25,1
2,16.66666667,1
2,25,1
2,-8.333333333,1
2,8.333333333,1
2,8.333333333,1
2,8.333333333,1
2,16.66666667,1
2,25,1
2,-8.333333333,1
2,8.333333333,1
2,-8.333333333,1
2,8.333333333,1
2,16.66666667,1
2,33.33333333,1
2,-8.333333333,1
2,25,1
2,25,1
2,0,1
2,-8.333333333,1
2,-25,1
2,-8.333333333,1
2,-41.66666667,1
2,0,1
2,-16.66666667,1
2,-16.66666667,1
2,8.333333333,1
2,41.66666667,1
2,8.333333333,1
2,-25,1
2,-41.66666667,1
2,0,1
2,0,1
2,-8.333333333,1
2,0,1
2,0,1
2,0,1
2,-16.66666667,1
2,16.66666667,1
2,-16.66666667,1
2,0,1
2,-8.333333333,1
2,41.66666667,1
2,-16.66666667,1
2,-16.66666667,1
