subject,rt,stim,se,category,response
1,3284,7041.jpg,102,NeutralNonsocial,1
1,2599,9421.jpg,102,NegativeSocial,1
1,1682,8420.jpg,102,PositiveSocial,1
1,1549,2104.jpg,102,NeutralSocial,1
1,2577,2091.jpg,102,PositiveSocial,1
1,1385,2050.jpg,102,PositiveSocial,1
1,1688,9000.jpg,102,NegativeNonsocial,1
1,1581,9440.jpg,102,NegativeNonsocial,1
1,2200,2593.jpg,102,NeutralSocial,1
1,1464,3230.jpg,102,NegativeSocial,1
1,1166,2703.jpg,102,NegativeSocial,1
1,1354,7034.jpg,102,NeutralNonsocial,1
1,2538,9911.jpg,102,NegativeNonsocial,1
1,1591,9253.jpg,102,NegativeSocial,1
1,1918,3101.jpg,102,NegativeSocial,1
1,1405,8502.jpg,102,PositiveNonsocial,1
1,1366,2900.1.jpg,102,NegativeSocial,1
1,1644,7330.jpg,102,PositiveNonsocial,1
1,1603,9415.jpg,102,NegativeSocial,1
1,1470,2579.jpg,102,NeutralSocial,1
1,1220,7090.jpg,102,NeutralNonsocial,1
1,2036,4610.jpg,102,PositiveSocial,1
1,1383,2209.jpg,102,PositiveSocial,1
1,1316,7217.jpg,102,NeutralNonsocial,1
1,1876,7010.jpg,102,NeutralNonsocial,1
1,1316,2595.jpg,102,NeutralSocial,1
1,1437,9419.jpg,102,NegativeSocial,1
1,1365,9630.jpg,102,NegativeNonsocial,1
1,1805,2375.1.jpg,102,NegativeSocial,1
1,1634,2393.jpg,102,NeutralSocial,0
1,1960,9561.jpg,102,NegativeNonsocial,1
1,1540,2340.jpg,102,PositiveSocial,1
1,1425,9471.jpg,102,NegativeNonsocial,1
1,1148,7508.jpg,102,PositiveNonsocial,1
1,947,7460.jpg,102,PositiveNonsocial,1
1,1660,7506.jpg,102,NeutralSocial,1
1,1410,9140.jpg,102,NegativeNonsocial,1
1,1544,9429.jpg,102,NegativeSocial,1
1,3535,8496.jpg,102,PositiveSocial,0
1,2528,9560.jpg,102,NegativeNonsocial,1
1,1056,2650.jpg,102,PositiveSocial,1
1,1281,3350.jpg,102,NegativeSocial,1
1,2387,9290.jpg,102,NegativeNonsocial,0
1,1211,2224.jpg,102,PositiveSocial,1
1,1539,5600.jpg,102,PositiveNonsocial,1
1,1153,2397.jpg,102,NeutralSocial,1
1,918,2580.jpg,102,NeutralSocial,1
1,1177,2165.jpg,102,PositiveSocial,1
1,1366,7002.jpg,102,NeutralNonsocial,1
1,906,8510.jpg,102,PositiveNonsocial,1
1,3061,9830.jpg,102,NegativeNonsocial,1
1,1038,5760.jpg,102,PositiveNonsocial,1
1,1489,9220.jpg,102,NegativeSocial,1
1,1551,9611.jpg,102,NegativeNonsocial,1
1,982,2550.jpg,102,PositiveSocial,0
1,1096,7211.jpg,102,NeutralNonsocial,1
1,1099,2398.jpg,102,PositiveSocial,1
1,1220,8461.jpg,102,PositiveSocial,1
1,2182,2396.jpg,102,NeutralSocial,1
1,1692,2210.jpg,102,NeutralSocial,1
1,1261,2446.jpg,102,NeutralSocial,1
1,1033,1220.jpg,102,NegativeNonsocial,1
1,1219,2388.jpg,102,PositiveSocial,1
1,1013,7224.jpg,102,NeutralNonsocial,1
1,1238,7230.jpg,102,PositiveNonsocial,1
1,1172,2276.jpg,102,NegativeSocial,1
1,1192,7055.jpg,102,NeutralNonsocial,0
1,1390,1811.jpg,102,PositiveNonsocial,1
1,2058,7595.jpg,102,NeutralNonsocial,1
1,887,7150.jpg,102,NeutralNonsocial,1
1,1335,9620.jpg,102,NegativeNonsocial,1
1,1302,6150.jpg,102,NeutralNonsocial,1
1,1039,2095.jpg,102,NegativeSocial,1
1,1622,2205.jpg,102,NegativeSocial,1
1,2610,7501.jpg,102,PositiveNonsocial,0
1,766,1440.jpg,102,PositiveNonsocial,1
1,1113,1270.jpg,102,NegativeNonsocial,1
1,1734,9301.jpg,102,NegativeNonsocial,1
1,2848,2597.jpg,102,NeutralSocial,1
1,1260,2221.jpg,102,NeutralSocial,1
1,1573,4605.jpg,102,NeutralSocial,1
1,1261,1920.jpg,102,PositiveNonsocial,1
1,1573,7035.jpg,102,NeutralNonsocial,1
1,3505,9280.jpg,102,NegativeNonsocial,1
1,2334,7480.jpg,102,PositiveNonsocial,1
1,2361,2206.jpg,102,NeutralSocial,1
1,1723,8540.jpg,102,PositiveSocial,1
1,1086,7705.jpg,102,NeutralNonsocial,0
1,1459,2383.jpg,102,NeutralSocial,1
1,826,1463.jpg,102,PositiveNonsocial,1
1,915,5910.jpg,102,PositiveNonsocial,1
