Subject,Group ,Score,Stimulus,Session
1,1,2.25,C,1
1,1,2.375,C,2
1,1,2.625,C,3
1,1,3.75,C,4
1,1,5.25,C,5
1,1,4.375,C,6
1,1,5.875,C,7
1,1,3.5,C,8
1,1,5.5,C,9
1,1,4.25,C,10
1,1,6.375,C,11
1,1,3.25,C,12
1,1,3.875,C,13
1,1,1.25,C,14
1,1,5.375,C,15
1,1,4.75,C,16
1,1,2.875,L,1
1,1,3.375,L,2
1,1,3,L,3
1,1,3.875,L,4
1,1,3.875,L,5
1,1,3.625,L,6
1,1,2.75,L,7
1,1,0.625,L,8
1,1,1.125,L,9
1,1,3.75,L,10
1,1,2.625,L,11
1,1,1.125,L,12
1,1,1.25,L,13
1,1,0.75,L,14
1,1,2.75,L,15
1,1,1.375,L,16
1,1,2.4375,CL,1
1,1,3.6875,CL,2
1,1,4.1875,CL,3
1,1,4.4375,CL,4
1,1,7.8125,CL,5
1,1,7.625,CL,6
1,1,8.75,CL,7
1,1,6.6875,CL,8
1,1,8,CL,9
1,1,9.3125,CL,10
1,1,9.25,CL,11
1,1,9.0625,CL,12
1,1,7.3125,CL,13
1,1,7.875,CL,14
1,1,8,CL,15
1,1,9.125,CL,16
2,1,2,C,1
2,1,3.25,C,2
2,1,3.875,C,3
2,1,3.75,C,4
2,1,4.625,C,5
2,1,7.125,C,6
2,1,5.625,C,7
2,1,5.625,C,8
2,1,4.75,C,9
2,1,6.25,C,10
2,1,5.375,C,11
2,1,5,C,12
2,1,6.375,C,13
2,1,4.375,C,14
2,1,4.875,C,15
2,1,5.125,C,16
2,1,1.375,L,1
2,1,0.25,L,2
2,1,1.5,L,3
2,1,1.5,L,4
2,1,1.75,L,5
2,1,1.125,L,6
2,1,2.125,L,7
2,1,0.75,L,8
2,1,1,L,9
2,1,0.875,L,10
2,1,2,L,11
2,1,1.75,L,12
2,1,0.5,L,13
2,1,1.5,L,14
2,1,0.875,L,15
2,1,2.5,L,16
2,1,1.4375,CL,1
2,1,2.9375,CL,2
2,1,2.8125,CL,3
2,1,3.6875,CL,4
2,1,4.25,CL,5
2,1,5.5,CL,6
2,1,6.8125,CL,7
2,1,5.8125,CL,8
2,1,7.9375,CL,9
2,1,8.125,CL,10
2,1,6.875,CL,11
2,1,7.375,CL,12
2,1,6.625,CL,13
2,1,7.375,CL,14
2,1,7.8125,CL,15
2,1,7.4375,CL,16
3,1,1.75,C,1
3,1,2.875,C,2
3,1,5.625,C,3
3,1,6.125,C,4
3,1,7.125,C,5
3,1,1.625,C,6
3,1,9.375,C,7
3,1,1.875,C,8
3,1,2.875,C,9
3,1,2.25,C,10
3,1,8.375,C,11
3,1,3.625,C,12
3,1,6.5,C,13
3,1,3,C,14
3,1,9.375,C,15
3,1,12,C,16
3,1,1.75,L,1
3,1,3.25,L,2
3,1,8,L,3
3,1,3.625,L,4
3,1,8.25,L,5
3,1,5.875,L,6
3,1,5.875,L,7
3,1,1.625,L,8
3,1,2.5,L,9
3,1,6,L,10
3,1,3.875,L,11
3,1,3.125,L,12
3,1,5.375,L,13
3,1,0.625,L,14
3,1,5.625,L,15
3,1,7.125,L,16
3,1,0.875,CL,1
3,1,3.75,CL,2
3,1,6.0625,CL,3
3,1,8.375,CL,4
3,1,7.4375,CL,5
3,1,5.5,CL,6
3,1,8.625,CL,7
3,1,5.75,CL,8
3,1,5.4375,CL,9
3,1,13.875,CL,10
3,1,12.6875,CL,11
3,1,11.6875,CL,12
3,1,12.4375,CL,13
