pnum,year,landmark,DE,DB
1,1,Brown & Brew,0.131357968,-0.014486968
1,1,Campus Center,0.148158364,0.073903002
1,1,Carmichael Hall,0.117511052,-0.116084461
1,1,Dewick,0.11108875,-0.004069284
1,1,Dowling Hall,0.154463213,0.115854174
1,1,Goddard Chapel,0.151828439,0.081363246
1,1,Olin Center,0.089053118,0.077313098
1,1,Tisch Library,0.094819532,-0.017542065
2,1,Brown & Brew,0.15352293,0.100655889
2,1,Campus Center,0.103872649,0.072474431
2,1,Carmichael Hall,0.121928736,-0.004370175
2,1,Dewick,0.114887496,0.067073573
2,1,Dowling Hall,0.11343385,0.043282745
2,1,Goddard Chapel,0.184512042,0.174506104
2,1,Olin Center,0.165598812,0.165598812
2,1,Tisch Library,0.091210822,0.037600792
3,1,Brown & Brew,0.125933355,0.074941603
3,1,Campus Center,0.11317585,0.070474431
3,1,Carmichael Hall,0.128994391,-0.005513032
3,1,Dewick,0.101513032,0.006787859
3,1,Dowling Hall,0.150071264,0.040997031
3,1,Goddard Chapel,0.102671726,0.054791818
3,1,Olin Center,0.121469482,0.041598812
3,1,Tisch Library,0.069111844,0.036743649
4,1,Brown & Brew,0.201791488,0.032941603
4,1,Campus Center,0.152351039,-0.031811283
4,1,Carmichael Hall,0.157749258,-0.079798746
4,1,Dewick,0.154387991,-0.06578357
4,1,Dowling Hall,0.129628505,-0.115860112
4,1,Goddard Chapel,0.123404157,-0.037208182
4,1,Olin Center,0.101512372,-0.077544045
4,1,Tisch Library,0.096336523,-0.041256351
5,1,Brown & Brew,0.249073903,0.249073903
5,1,Campus Center,0.180158364,0.133331574
5,1,Carmichael Hall,0.121747113,0.085426097
5,1,Dewick,0.103458924,0.066502145
5,1,Dowling Hall,0.213854174,0.213854174
5,1,Goddard Chapel,0.159940614,0.159648961
5,1,Olin Center,0.143886506,0.134455955
5,1,Tisch Library,0.100925107,0.059315078
6,1,Brown & Brew,0.109751237,0.081227318
6,1,Campus Center,0.087557242,0.065617288
6,1,Carmichael Hall,0.156444078,-0.096941603
6,1,Dewick,0.112231607,0.02221643
6,1,Dowling Hall,0.111767074,-0.004717255
6,1,Goddard Chapel,0.116673045,0.037934675
6,1,Olin Center,0.096263939,0.058455955
6,1,Tisch Library,0.059858792,-0.000113494
7,1,Brown & Brew,0.112569449,-0.102486968
7,1,Campus Center,0.076312768,-0.044382712
7,1,Carmichael Hall,0.135798746,-0.135798746
7,1,Dewick,0.107122402,-0.052926427
7,1,Dowling Hall,0.072318047,-0.065002969
7,1,Goddard Chapel,0.108952821,0.011077532
7,1,Olin Center,0.094972616,-0.094972616
7,1,Tisch Library,0.121250412,-0.090113494
8,1,Brown & Brew,0.153751237,0.086941603
8,1,Campus Center,0.072197295,-0.009811283
8,1,Carmichael Hall,0.080977895,-0.020655889
8,1,Dewick,0.115749918,-0.003497855
8,1,Dowling Hall,0.067627846,0.033282745
8,1,Goddard Chapel,0.07478126,-0.026351039
8,1,Olin Center,0.164034972,0.089598812
8,1,Tisch Library,0.079287364,-0.003542065
9,1,Brown & Brew,0.083185747,0.048084461
9,1,Campus Center,0.149557242,0.099045859
9,1,Carmichael Hall,0.130746288,0.022201254
9,1,Dewick,0.078891455,-0.035212141
9,1,Dowling Hall,0.152928406,0.100425602
9,1,Goddard Chapel,0.095648961,0.095648961
9,1,Olin Center,0.139467502,0.098170241
9,1,Tisch Library,0.141666777,0.110743649
10,1,Brown & Brew,0.15169515,0.145798746
10,1,Campus Center,0.152534477,0.132188717
10,1,Carmichael Hall,0.154822831,0.145058397
10,1,Dewick,0.165222039,0.083645002
10,1,Dowling Hall,0.169264269,0.165282745
10,1,Goddard Chapel,0.110361597,0.083363246
10,1,Olin Center,0.112773342,0.024170241
10,1,Tisch Library,0.170121412,0.123600792
11,1,Brown & Brew,0.129066315,0.093227318
11,1,Campus Center,0.126401188,0.003331574
11,1,Carmichael Hall,0.109425272,-0.016655889
11,1,Dewick,0.090640713,-0.090640713
11,1,Dowling Hall,0.16008512,0.146139888
11,1,Goddard Chapel,0.086056087,0.037363246
11,1,Olin Center,0.124409106,-0.043829759
11,1,Tisch Library,0.078264599,0.029029363
12,1,Brown & Brew,0.302494886,0.272941603
12,1,Campus Center,0.135138238,-0.023239855
12,1,Carmichael Hall,0.189902342,-0.143227318
12,1,Dewick,0.102529198,0.023359287
12,1,Dowling Hall,0.243386341,0.074997031
12,1,Goddard Chapel,0.214971297,0.122791818
12,1,Olin Center,0.130704058,-0.041544045
12,1,Tisch Library,0.09143385,0.022743649
13,1,Brown & Brew,0.117534147,0.041513032
13,1,Campus Center,0.080514022,0.013617288
13,1,Carmichael Hall,0.096787859,-0.064084461
13,1,Dewick,0.070409766,-0.057497855
13,1,Dowling Hall,0.103891785,0.081282745
13,1,Goddard Chapel,0.07895744,0.040791818
13,1,Olin Center,0.07734675,0.017598812
13,1,Tisch Library,0.082373474,-0.01182778
14,1,Brown & Brew,0.164084461,0.164084461
