sub,rt,set_size,identity,presence,orientation
1,0.4851,2,1,1,1
1,0.5002,4,1,1,1
1,0.5041,6,1,1,1
1,0.4842,2,1,2,1
1,0.4956,4,1,2,1
1,0.4945,6,1,2,1
1,0.4909,2,1,1,2
1,0.5114,4,1,1,2
1,0.6035,6,1,1,2
1,0.4881,2,1,2,2
1,0.5322,4,1,2,2
1,0.558,6,1,2,2
1,0.4275,2,2,1,1
1,0.4451,4,2,1,1
1,0.4597,6,2,1,1
1,0.4543,2,2,2,1
1,0.4775,4,2,2,1
1,0.4698,6,2,2,1
1,0.5035,2,2,1,2
1,0.5556,4,2,1,2
1,0.6214,6,2,1,2
1,0.5106,2,2,2,2
1,0.5791,4,2,2,2
1,0.5801,6,2,2,2
1,0.4294,2,3,1,1
1,0.4631,4,3,1,1
1,0.4732,6,3,1,1
1,0.4597,2,3,2,1
1,0.4531,4,3,2,1
1,0.4598,6,3,2,1
1,0.4888,2,3,1,2
1,0.5808,4,3,1,2
1,0.6567,6,3,1,2
1,0.511,2,3,2,2
1,0.5624,4,3,2,2
1,0.5769,6,3,2,2
2,0.5683,2,1,1,1
2,0.5708,4,1,1,1
2,0.6066,6,1,1,1
2,0.5641,2,1,2,1
2,0.5444,4,1,2,1
2,0.568,6,1,2,1
2,0.5628,2,1,1,2
2,0.5454,4,1,1,2
2,0.5456,6,1,1,2
2,0.5458,2,1,2,2
2,0.5452,4,1,2,2
2,0.5544,6,1,2,2
2,0.5722,2,2,1,1
2,0.5686,4,2,1,1
2,0.5407,6,2,1,1
2,0.5414,2,2,2,1
2,0.5481,4,2,2,1
2,0.5639,6,2,2,1
2,0.5626,2,2,1,2
2,0.5763,4,2,1,2
2,0.6104,6,2,1,2
2,0.5506,2,2,2,2
2,0.5656,4,2,2,2
2,0.6098,6,2,2,2
2,0.5175,2,3,1,1
2,0.5474,4,3,1,1
2,0.5575,6,3,1,1
2,0.5468,2,3,2,1
2,0.5168,4,3,2,1
2,0.5041,6,3,2,1
2,0.6142,2,3,1,2
2,0.5704,4,3,1,2
2,0.6155,6,3,1,2
2,0.5895,2,3,2,2
2,0.5887,4,3,2,2
2,0.5675,6,3,2,2
3,0.5946,2,1,1,1
3,0.6162,4,1,1,1
3,0.6694,6,1,1,1
3,0.6207,2,1,2,1
3,0.5999,4,1,2,1
3,0.5925,6,1,2,1
3,0.9069,2,1,1,2
3,0.8564,4,1,1,2
3,0.961,6,1,1,2
3,0.627,2,1,2,2
3,0.6805,4,1,2,2
3,0.8017,6,1,2,2
3,0.6161,2,2,1,1
3,0.6439,4,2,1,1
3,0.6501,6,2,1,1
3,0.616,2,2,2,1
3,0.6315,4,2,2,1
3,0.5932,6,2,2,1
3,0.7879,2,2,1,2
3,0.9589,4,2,1,2
3,1.1694,6,2,1,2
3,0.6666,2,2,2,2
3,0.8739,4,2,2,2
3,0.8975,6,2,2,2
3,0.5896,2,3,1,1
3,0.6424,4,3,1,1
3,0.6099,6,3,1,1
3,0.5778,2,3,2,1
3,0.6132,4,3,2,1
3,0.5968,6,3,2,1
3,0.5249,2,3,1,2
3,0.5476,4,3,1,2
3,0.5782,6,3,1,2
3,0.4719,2,3,2,2
3,0.492,4,3,2,2
3,0.5071,6,3,2,2
4,0.5396,2,1,1,1
4,0.5364,4,1,1,1
4,0.5574,6,1,1,1
4,0.5355,2,1,2,1
4,0.5322,4,1,2,1
4,0.5406,6,1,2,1
4,0.4706,2,1,1,2
4,0.5407,4,1,1,2
4,0.5884,6,1,1,2
4,0.4559,2,1,2,2
4,0.4738,4,1,2,2
4,0.4898,6,1,2,2
4,0.4954,2,2,1,1
4,0.5483,4,2,1,1
4,0.587,6,2,1,1
4,0.4883,2,2,2,1
4,0.501,4,2,2,1
4,0.5114,6,2,2,1
4,0.5344,2,2,1,2
4,0.5997,4,2,1,2
4,0.6839,6,2,1,2
4,0.4697,2,2,2,2
4,0.5008,4,2,2,2
4,0.536,6,2,2,2
4,0.5666,2,3,1,1
4,0.5719,4,3,1,1
4,0.6253,6,3,1,1
4,0.4862,2,3,2,1
4,0.5221,4,3,2,1
4,0.5101,6,3,2,1
4,0.4893,2,3,1,2
4,0.5404,4,3,1,2
4,0.5928,6,3,1,2
4,0.4641,2,3,2,2
4,0.4783,4,3,2,2
4,0.5011,6,3,2,2
5,0.4684,2,1,1,1
5,0.4788,4,1,1,1
5,0.4744,6,1,1,1
5,0.4714,2,1,2,1
5,0.4718,4,1,2,1
5,0.4833,6,1,2,1
5,0.428,2,1,1,2
5,0.4445,4,1,1,2
5,0.4469,6,1,1,2
5,0.4617,2,1,2,2
5,0.4975,4,1,2,2
5,0.4887,6,1,2,2
5,0.4336,2,2,1,1
5,0.4631,4,2,1,1
5,0.4412,6,2,1,1
5,0.445,2,2,2,1
5,0.4747,4,2,2,1
5,0.4668,6,2,2,1
5,0.44,2,2,1,2
5,0.4587,4,2,1,2
5,0.5002,6,2,1,2
5,0.4882,2,2,2,2
5,0.4796,4,2,2,2
5,0.505,6,2,2,2
5,0.434,2,3,1,1
5,0.4214,4,3,1,1
5,0.4537,6,3,1,1
5,0.4664,2,3,2,1
5,0.4535,4,3,2,1
5,0.4567,6,3,2,1
5,0.4307,2,3,1,2
5,0.4529,4,3,1,2
5,0.4458,6,3,1,2
5,0.4539,2,3,2,2
5,0.4919,4,3,2,2
5,0.498,6,3,2,2
6,0.4919,2,1,1,1
6,0.5265,4,1,1,1
6,0.5392,6,1,1,1
6,0.5117,2,1,2,1
6,0.5273,4,1,2,1
6,0.5205,6,1,2,1
6,0.4601,2,1,1,2
6,0.4723,4,1,1,2
6,0.4801,6,1,1,2
6,0.5087,2,1,2,2
6,0.5167,4,1,2,2
6,0.524,6,1,2,2
6,0.4912,2,2,1,1
6,0.5322,4,2,1,1
6,0.5229,6,2,1,1
6,0.4882,2,2,2,1
6,0.489,4,2,2,1
6,0.573,6,2,2,1
6,0.4663,2,2,1,2
6,0.4938,4,2,1,2
6,0.4868,6,2,1,2
6,0.5249,2,2,2,2
6,0.5238,4,2,2,2
6,0.5347,6,2,2,2
6,0.4366,2,3,1,1
6,0.4444,4,3,1,1
6,0.4594,6,3,1,1
6,0.477,2,3,2,1
6,0.4703,4,3,2,1
6,0.4678,6,3,2,1
6,0.4394,2,3,1,2
6,0.4708,4,3,1,2
6,0.4886,6,3,1,2
6,0.5005,2,3,2,2
6,0.4989,4,3,2,2
6,0.5044,6,3,2,2
7,0.6003,2,1,1,1
7,0.6428,4,1,1,1
7,0.6253,6,1,1,1
7,0.5417,2,1,2,1
7,0.5294,4,1,2,1
7,0.5724,6,1,2,1
7,0.5044,2,1,1,2
7,0.5106,4,1,1,2
7,0.5851,6,1,1,2
7,0.4792,2,1,2,2
7,0.4959,4,1,2,2
7,0.5214,6,1,2,2
7,0.5704,2,2,1,1
7,0.5621,4,2,1,1
7,0.5661,6,2,1,1
7,0.4667,2,2,2,1
7,0.4955,4,2,2,1
7,0.4882,6,2,2,1
7,0.5536,2,2,1,2
7,0.6614,4,2,1,2
7,0.6168,6,2,1,2
7,0.5128,2,2,2,2
7,0.5406,4,2,2,2
7,0.5783,6,2,2,2
7,0.5268,2,3,1,1
7,0.5426,4,3,1,1
7,0.5126,6,3,1,1
7,0.5049,2,3,2,1
7,0.5108,4,3,2,1
7,0.5055,6,3,2,1
7,0.4664,2,3,1,2
7,0.4986,4,3,1,2
7,0.5321,6,3,1,2
7,0.4886,2,3,2,2
7,0.464,4,3,2,2
7,0.4614,6,3,2,2
8,0.5145,2,1,1,1
8,0.4836,4,1,1,1
8,0.4909,6,1,1,1
8,0.5041,2,1,2,1
8,0.5215,4,1,2,1
8,0.5209,6,1,2,1
8,0.5166,2,1,1,2
8,0.5604,4,1,1,2
8,0.5736,6,1,1,2
8,0.5,2,1,2,2
8,0.5265,4,1,2,2
8,0.5557,6,1,2,2
8,0.4732,2,2,1,1
8,0.5083,4,2,1,1
8,0.5217,6,2,1,1
8,0.4727,2,2,2,1
8,0.5058,4,2,2,1
8,0.4844,6,2,2,1
8,0.5438,2,2,1,2
8,0.6475,4,2,1,2
8,0.7248,6,2,1,2
8,0.5493,2,2,2,2
8,0.6265,4,2,2,2
8,0.6462,6,2,2,2
8,0.5279,2,3,1,1
8,0.5019,4,3,1,1
8,0.5319,6,3,1,1
8,0.4759,2,3,2,1
8,0.4952,4,3,2,1
8,0.5742,6,3,2,1
8,0.5995,2,3,1,2
8,0.6267,4,3,1,2
8,0.6095,6,3,1,2
8,0.4874,2,3,2,2
8,0.5274,4,3,2,2
8,0.6039,6,3,2,2
9,0.4896,2,1,1,1
9,0.5092,4,1,1,1
9,0.5575,6,1,1,1
9,0.4694,2,1,2,1
9,0.4817,4,1,2,1
9,0.4993,6,1,2,1
9,0.5074,2,1,1,2
9,0.5408,4,1,1,2
9,0.5974,6,1,1,2
9,0.4895,2,1,2,2
9,0.5068,4,1,2,2
9,0.5277,6,1,2,2
9,0.4965,2,2,1,1
9,0.4999,4,2,1,1
9,0.5108,6,2,1,1
9,0.4587,2,2,2,1
9,0.4556,4,2,2,1
9,0.4899,6,2,2,1
9,0.5476,2,2,1,2
9,0.5557,4,2,1,2
9,0.6028,6,2,1,2
9,0.5294,2,2,2,2
9,0.5503,4,2,2,2
9,0.5862,6,2,2,2
9,0.537,2,3,1,1
9,0.5516,4,3,1,1
9,0.5698,6,3,1,1
9,0.5024,2,3,2,1
9,0.4767,4,3,2,1
9,0.5157,6,3,2,1
9,0.5452,2,3,1,2
9,0.5672,4,3,1,2
