subj,trial,group,per_corr
1,1,1,48.03634387
1,2,1,57.01417859
1,3,1,60.78101893
1,4,1,71.94231644
1,5,1,77.9469709
2,1,1,43.86001123
2,2,1,51.00642283
2,3,1,58.76996795
2,4,1,65.2972613
2,5,1,62.63594711
3,1,1,35.45975741
3,2,1,50.06229218
3,3,1,60.23275137
3,4,1,64.1973427
3,5,1,70.71356998
4,1,1,40.41927961
4,2,1,50.01618939
4,3,1,60.70333945
4,4,1,69.17451324
4,5,1,67.6882861
5,1,1,43.13720743
5,2,1,54.85501287
5,3,1,64.50717273
5,4,1,73.18821811
5,5,1,80.04377925
6,1,1,17.05824282
6,2,1,16.40999324
6,3,1,19.24364683
6,4,1,22.87658648
6,5,1,19.34727621
7,1,1,52.16506929
7,2,1,57.20978558
7,3,1,68.3474503
7,4,1,74.51853446
7,5,1,81.40576353
8,1,1,50.68311379
8,2,1,60.0446754
8,3,1,73.75343801
8,4,1,74.15990785
8,5,1,81.13971373
9,1,1,38.95144192
9,2,1,52.16819607
9,3,1,58.82051531
9,4,1,62.29813772
9,5,1,69.23560248
10,1,1,45.85260628
10,2,1,57.43242274
10,3,1,68.12205746
10,4,1,68.06485363
10,5,1,78.89553236
11,1,1,43.20171315
11,2,1,51.45036935
11,3,1,57.81229355
11,4,1,56.06369552
11,5,1,53.99859616
12,1,1,64.60830845
12,2,1,76.51184401
12,3,1,86.09192332
12,4,1,97.67501165
12,5,1,100
13,1,2,37.04661218
13,2,2,54.6591665
13,3,2,60.62484661
13,4,2,65.85924037
13,5,2,70.11836484
14,1,2,51.87280339
14,2,2,64.74111764
14,3,2,71.55036431
14,4,2,76.36303963
14,5,2,89.19873146
15,1,2,67.22653347
15,2,2,83.72083412
15,3,2,97.65917152
15,4,2,100
15,5,2,100
16,1,2,43.42750667
16,2,2,66.74586731
16,3,2,59.07922562
16,4,2,64.61565685
16,5,2,72.77439558
17,1,2,36.48877681
17,2,2,55.25926277
17,3,2,67.47537288
17,4,2,73.67980814
17,5,2,76.90087488
18,1,2,56.74073042
18,2,2,61.77238909
18,3,2,79.15137155
18,4,2,79.73816333
18,5,2,97.01302287
19,1,2,43.48908992
19,2,2,63.01958767
19,3,2,71.46497346
19,4,2,77.52865918
19,5,2,79.64618149
20,1,2,37.84330665
20,2,2,59.943706
20,3,2,69.36220899
20,4,2,84.05697598
20,5,2,87.05448722
21,1,2,47.23400724
21,2,2,60.73047269
21,3,2,71.17480922
21,4,2,80.1610079
21,5,2,87.36993219
22,1,2,40.57843779
22,2,2,50.33223023
22,3,2,60.98340192
22,4,2,65.65661746
22,5,2,75.16032027
23,1,2,57.27796795
23,2,2,74.40378791
23,3,2,83.00926827
23,4,2,94.52863488
23,5,2,100
24,1,2,61.04087579
24,2,2,73.29239258
24,3,2,85.15387276
24,4,2,91.96042148
24,5,2,95.65917868
