age,iq,hand,numsibs,word_id,word_atk,word_rec,bdyparts,chinchar,look_sam,snd_same,mean_sam,cat_sam
7.33,131,1,1,4.3,6.1,0,0,6,8,17,17,35
8.08,132,2,0,2.1,1.8,5,4,7,5,14,5,25
8.25,97,2,3,1.3,1.4,1,0,3,3,1,4,21
8.08,126,2,0,4.6,4.7,7,0,4,8,17,39,46
8.42,97,2,2,2.7,1.6,3,0,4,4,7,16,41
8.08,140,1,1,6.4,12.9,1,0,3,11,21,22,37
7.83,95,2,0,4.7,10.1,2,0,3,9,15,18,30
8.25,140,2,0,3.9,3.8,2,0,3,10,16,16,38
8.08,135,2,0,4,5.1,4,0,2,6,12,12,48
8,102,1,1,2.3,1.7,1,0,4,11,13,13,40
8.25,123,2,1,6,10.1,2,1,2,6,15,13,59
7.58,123,2,1,2.9,2.2,1,0,5,9,4,18,33
7.75,90,2,0,3,3.32,3,1,6,13,8,11,41
7.58,116,1,0,3.1,3.2,4,2,3,12,15,16,42
8.5,134,1,2,4.9,6.7,4,2,4,6,10,19,43
7.83,121,1,1,3.2,4.7,3,0,2,10,13,19,43
8.5,118,2,1,4.7,6.7,2,0,5,19,21,16,43
8.25,132,1,0,2.8,1.6,11,0,2,16,22,23,42
7.83,107,1,3,2.2,2.9,1,0,3,19,14,19,46
7.92,111,2,2,3,2.3,3,0,3,10,12,18,41
8.58,106,2,0,2.6,2.7,1,0,3,8,9,23,36
8.25,126,2,1,2.4,3,0,0,3,6,13,16,30
7.92,132,2,1,2.6,1.6,2,0,4,7,14,25,24
8.83,96,2,0,3,2.6,3,0,6,5,15,17,39
7.92,137,2,0,2.6,2,1,0,3,8,19,32,49
8.33,144,2,1,6.9,12.9,4,1,5,20,26,21,45
7.67,114,2,1,4.4,10.1,7,1,6,6,19,28,58
8.08,111,2,2,2.5,3.6,1,0,3,8,15,13,31
7.58,100,2,1,3.6,5.8,2,1,3,8,12,14,32
8.75,106,2,1,2.3,3.8,0,0,5,8,9,19,39
8.25,132,2,0,4.6,12.9,3,2,4,17,33,21,55
8.17,143,2,2,7.1,8.1,0,0,6,8,11,20,50
8.67,90,2,1,2.9,4.7,1,0,1,9,12,22,36
8.67,114,2,0,3,2.6,8,0,5,9,16,25,59
7.92,99,2,0,4.8,5.6,1,0,5,10,19,21,45
8.58,121,2,0,3.2,2.4,4,0,2,11,19,23,37
8.25,135,2,1,4.6,10.1,1,0,4,10,26,24,41
8.58,122,1,0,4.3,3.9,3,0,4,13,25,38,60
7.92,132,2,1,3.8,5.6,5,0,2,6,17,18,42
7.75,123,2,0,3.6,5.1,2,1,4,6,30,20,42
8.5,118,2,1,3.3,3.2,1,0,4,10,20,23,39
8.33,106,2,1,2.6,1.8,2,1,5,8,15,19,37
7.75,128,2,2,2.8,3.4,6,0,3,12,22,24,55
8.92,106,2,1,2.7,1.8,2,0,5,7,13,22,48
8.42,111,2,0,1.8,2.3,1,0,3,2,3,15,40
8.58,103,2,0,3,3.4,3,1,3,10,18,25,52
8,107,2,2,2.8,2.6,3,0,1,13,19,17,39
9,114,2,2,2.7,2.4,1,0,5,7,19,36,50
8.25,111,2,2,3.1,3.7,0,0,2,9,16,31,57
7.75,114,2,1,3.2,3.9,1,1,7,7,11,15,35
8.58,100,2,1,3.7,3.6,2,0,4,11,18,25,45
9.17,86,2,1,3,3,5,0,3,11,24,25,56
7.92,100,2,0,2.1,1.6,2,0,3,3,11,14,31
7.83,93,2,1,2.8,1.2,2,2,3,8,8,20,39
