YOUTH1,YOUTH2,YOUTH3,YOUTH4,YOUTH5,YOUTH6,YOUTH7,YOUTH8,YOUTH9,YOUTH10,YOUTH11,YOUTH12,YOUTH13,YOUTH14,YOUTH15,YOUTH16,YOUTH17,YOUTH18,YOUTH19,YOUTH20,YOUTH21,YOUTH22,YOUTH23,YOUTH24,YOUTH25,YOUTH26,YOUTH27,YOUTH28,YOUTH29,YOUTH30,YOUTH31,YOUTH32,YOUTH33,YOUTH34,YOUTH35,YOUTH36,YOUTH37,YOUTH38,YOUTH39,YOUTH40,YOUTH41,YOUTH42,YOUTH43,INVOLVEMENT,SOCIAL_SKILLS,FAMILY_STRENGTH,SCHOOL_STRENGTH,SOCIAL_SUPPORT,POSITIVE_OUTLOOK,TOTAL_RESILIENCY
2.00,5.00,1.00,1.00,4.00,1.00,3.00,3.00,4.00,5.00,5.00,2.00,0.00, ,4.00,4.00,0.00,4.00,4.00,4.00,4.00,4.00,1.00,1.00,3.00,3.00,2.00,2.00,2.00,3.00,2.00,1.00,2.00,2.00,1.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,14.00,22.00,29.00,11.00,18.00,11.00,105.00
3.00,5.00,1.00,1.00,1.00,3.00,3.00,3.00,5.00,5.00,5.00,3.00,2.00,4.00,2.00,0.00,4.00,0.00,4.00,2.00,4.00,4.00,2.00,4.00,2.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,4.00,0.00,4.00,2.00,2.00,2.00,4.00,2.00,14.00,24.00,28.00,10.00,12.00,14.00,102.00
2.00,1.00,5.00,1.00,3.00,1.00,4.00,4.00,4.00,4.00,4.00,1.00,4.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,4.00,4.00,2.00,4.00,4.00,2.00,4.00,4.00,3.00,2.00,0.00,4.00,3.00,4.00,4.00,4.00,2.00,0.00,2.00,0.00,4.00,4.00,4.00,13.00,21.00,33.00,18.00,26.00,10.00,121.00
4.00,1.00,1.00,1.00,3.00,2.00,4.00,3.00,4.00,5.00,4.00,3.00,4.00,4.00,1.00,4.00,2.00,2.00,4.00,3.00,3.00,3.00,3.00,2.00,2.00,0.00,4.00,3.00,2.00,2.00,1.00,3.00,3.00,3.00,0.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,3.00,12.00,23.00,33.00,11.00,20.00,13.00,112.00
5.00,2.00,1.00,3.00,3.00,3.00,3.00,5.00,3.00,5.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,3.00,4.00,4.00,4.00,4.00,0.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,3.00,4.00,3.00,17.00,22.00,44.00,17.00,28.00,17.00,145.00
1.00,1.00,1.00,3.00,4.00,3.00,4.00,4.00,4.00,5.00,5.00,2.00,3.00,4.00,1.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,1.00,2.00,4.00,4.00,4.00,4.00,4.00,3.00,0.00,4.00,2.00,4.00,1.00,4.00,4.00,4.00,4.00,4.00,2.00,4.00,4.00,13.00,24.00,35.00,18.00,26.00,18.00,134.00
4.00,1.00,1.00,1.00,2.00,3.00,4.00,3.00,5.00,5.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,12.00,24.00,43.00,18.00,36.00,19.00,152.00
2.00,1.00,1.00,1.00,3.00,2.00,3.00,3.00,3.00,3.00,4.00,3.00,4.00,0.00,1.00,0.00,0.00,2.00,4.00,0.00,4.00,2.00,4.00,0.00,0.00,4.00,4.00,4.00,2.00,1.00,0.00,4.00,1.00,2.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,4.00,2.00,10.00,19.00,21.00,12.00,14.00,8.00,84.00
3.00,1.00,1.00,1.00,4.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00,4.00,4.00,2.00,4.00,1.00,3.00,4.00,4.00,4.00,2.00,4.00,1.00,2.00,2.00,3.00,3.00,3.00,2.00,0.00,3.00,3.00,2.00,2.00,2.00,0.00,3.00,1.00,2.00,1.00,3.00,3.00,11.00,14.00,36.00,11.00,17.00,10.00,99.00
2.00,1.00,1.00,3.00,1.00,1.00,3.00,3.00,3.00,4.00,5.00,3.00,4.00,1.00,4.00,0.00,4.00,4.00,4.00,2.00,4.00,2.00,0.00,2.00,2.00,4.00,4.00,2.00,4.00,2.00,4.00,2.00,4.00,0.00,4.00,4.00,3.00,4.00,2.00,2.00,2.00,4.00,4.00,9.00,21.00,29.00,14.00,27.00,14.00,114.00
3.00,3.00,1.00,1.00,3.00,1.00,4.00,4.00,4.00,5.00,3.00,2.00,4.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,4.00,0.00,1.00,4.00,4.00,4.00,4.00,4.00,0.00,3.00,0.00,3.00,3.00,0.00,4.00,0.00,4.00,4.00,0.00,0.00,4.00,4.00,12.00,22.00,15.00,17.00,17.00,12.00,95.00
4.00,5.00,2.00,1.00,4.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,4.00,0.00,1.00,3.00,2.00, ,4.00,1.00,4.00,4.00,4.00,0.00,2.00,0.00,2.00,0.00,4.00,2.00,0.00,4.00,0.00,4.00,4.00,3.00,4.00,4.00,2.00,0.00,1.00,3.00,2.00,19.00,15.00,27.00,4.00,25.00,10.00,100.00
5.00,1.00,2.00,1.00,3.00,5.00,4.00,3.00,4.00,5.00,5.00,3.00,1.00,3.00,2.00,3.00,3.00,4.00,4.00,4.00,3.00,4.00,0.00,4.00,3.00,3.00,3.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,2.00,1.00,3.00,3.00,17.00,24.00,31.00,17.00,33.00,14.00,136.00
3.00,1.00,1.00,1.00,4.00,3.00,3.00,4.00,5.00,4.00,5.00,3.00,4.00,3.00,3.00,3.00,3.00,2.00,4.00,1.00,4.00,4.00,4.00,0.00,2.00,3.00,4.00,3.00,2.00,4.00,0.00,4.00,4.00,2.00,4.00,4.00,2.00,3.00,4.00,3.00,2.00,4.00,3.00,13.00,24.00,35.00,12.00,26.00,16.00,126.00
2.00,1.00,1.00,1.00,2.00,1.00,3.00,4.00,3.00,3.00,4.00,3.00,4.00,0.00,1.00,3.00,1.00,3.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,1.00,3.00,2.00,3.00,3.00,2.00,2.00,0.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,2.00,8.00,20.00,23.00,10.00,19.00,12.00,92.00
1.00,1.00,1.00,1.00,3.00, ,5.00,5.00,4.00,4.00,5.00,3.00,4.00,0.00,3.00,0.00,3.00,2.00,3.00,1.00,3.00,3.00,2.00,1.00,4.00,3.00,4.00,4.00,4.00,4.00,0.00,0.00,3.00,0.00,3.00,4.00,3.00,4.00,4.00,4.00,2.00,4.00,4.00,7.00,26.00,24.00,16.00,21.00,18.00,112.00
2.00,1.00,1.00,1.00,2.00,2.00,4.00,5.00,4.00,3.00,4.00,4.00,3.00,4.00,3.00,3.00,2.00,3.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,2.00,4.00,2.00,1.00,1.00,3.00,3.00,2.00,3.00,4.00,4.00,9.00,24.00,35.00,18.00,25.00,15.00,126.00
2.00,1.00,1.00,1.00,4.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,1.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,2.00,3.00,3.00,3.00,4.00,4.00,4.00,3.00,0.00,4.00,4.00,0.00,0.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,10.00,30.00,35.00,17.00,22.00,20.00,134.00
2.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,5.00,3.00,4.00,2.00,4.00,4.00,2.00,3.00,2.00,0.00,0.00,0.00,3.00,2.00,1.00,3.00,2.00,1.00,3.00,2.00,4.00,1.00,0.00,4.00,3.00,4.00,2.00,4.00,3.00,4.00,3.00,3.00,4.00,1.00,3.00,8.00,20.00,21.00,11.00,25.00,15.00,100.00
3.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,1.00,2.00,2.00,1.00,3.00,1.00,2.00,2.00,3.00,4.00,1.00,2.00,2.00,3.00,2.00,1.00,4.00,2.00,1.00,4.00,1.00,0.00,2.00,4.00,2.00,0.00,3.00,4.00,4.00,8.00,21.00,23.00,12.00,17.00,13.00,94.00
3.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,4.00,4.00,3.00,2.00,2.00,3.00,0.00,1.00,1.00,4.00,3.00,1.00,4.00,3.00,0.00,3.00,0.00,3.00,0.00,1.00,3.00,3.00,0.00,1.00,3.00,4.00,3.00,3.00,0.00,4.00,4.00,3.00,0.00,1.00,1.00,8.00,17.00,22.00,7.00,20.00,12.00,86.00
1.00,4.00,1.00,1.00,2.00,1.00,2.00,3.00,3.00,5.00,3.00,3.00,3.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,3.00,3.00,1.00,3.00,2.00,0.00,3.00,3.00,3.00,1.00,1.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,10.00,19.00,20.00,11.00,21.00,14.00,95.00
5.00,5.00,1.00,3.00,4.00,3.00,4.00,5.00,3.00,4.00,5.00,2.00,1.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,3.00,3.00,3.00,2.00,4.00,4.00,3.00,3.00,1.00,3.00,3.00,4.00,0.00,4.00,3.00,4.00,3.00,2.00,4.00,4.00,4.00,21.00,23.00,38.00,16.00,24.00,17.00,139.00
2.00,4.00,1.00,1.00,5.00,3.00,4.00,2.00,2.00,4.00,4.00,3.00,4.00,1.00,4.00,2.00,4.00,1.00,2.00,1.00,2.00,3.00,3.00,0.00,2.00,4.00,2.00,3.00,3.00,1.00,4.00,3.00,1.00,1.00, ,3.00,0.00,4.00,2.00,4.00,1.00,4.00,3.00,16.00,19.00,27.00,11.00,16.00,15.00,104.00
5.00,1.00,1.00,1.00,4.00,1.00,3.00,1.00,4.00, ,5.00,1.00,2.00,4.00,0.00,4.00,0.00,2.00,4.00,0.00,4.00,4.00,0.00,0.00,4.00,3.00,4.00,4.00,4.00,0.00,0.00,4.00,2.00,4.00,0.00,4.00,4.00,4.00,4.00,4.00,0.00,4.00,4.00,13.00,14.00,24.00,15.00,22.00,16.00,104.00
5.00,1.00,1.00,3.00,3.00,2.00,4.00,4.00,4.00,5.00,4.00,3.00,4.00,2.00,2.00,2.00,2.00,1.00,3.00,1.00,2.00,3.00,3.00,4.00,2.00,3.00,3.00,3.00,4.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,2.00,4.00,3.00,2.00,3.00,3.00,3.00,15.00,24.00,25.00,15.00,26.00,15.00,120.00
3.00,1.00,1.00,1.00,2.00,1.00,4.00,4.00,4.00,5.00,3.00,4.00,3.00,3.00,1.00,3.00,3.00,1.00,1.00,3.00,3.00,3.00,0.00,0.00,0.00,3.00,3.00,4.00,3.00,3.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,2.00,4.00,0.00,3.00,4.00,4.00,9.00,24.00,24.00,10.00,28.00,13.00,108.00
3.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,4.00,4.00,4.00,3.00,2.00,2.00,0.00,2.00,0.00,1.00,2.00,3.00,3.00,3.00,1.00,2.00,2.00,3.00,3.00,2.00,3.00,2.00,2.00,3.00,2.00,3.00,0.00,2.00,0.00,2.00,2.00,2.00,2.00,3.00,2.00,9.00,21.00,19.00,12.00,17.00,11.00,89.00
4.00,1.00,1.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,2.00,2.00,3.00,4.00,3.00,4.00,4.00,3.00,0.00,3.00,3.00,4.00,3.00,4.00,0.00,2.00,2.00,4.00,4.00,16.00,24.00,43.00,15.00,27.00,12.00,137.00
3.00,2.00,1.00,1.00,5.00,1.00,4.00,3.00,3.00,3.00,4.00,2.00,3.00,3.00,3.00,3.00,2.00,3.00,2.00,3.00,4.00,4.00,1.00,1.00,3.00,2.00,3.00,2.00,2.00,1.00,0.00,2.00,3.00,4.00,3.00,3.00,3.00,4.00,3.00,3.00,3.00,4.00,3.00,13.00,19.00,31.00,11.00,21.00,17.00,112.00
2.00,4.00,1.00,1.00,4.00,4.00,2.00,4.00,3.00,4.00,3.00,4.00,0.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,3.00,0.00,0.00,3.00,2.00,3.00,3.00,3.00,2.00,3.00,3.00,0.00,3.00,0.00,2.00,0.00,4.00,3.00,1.00,2.00,3.00,3.00,16.00,20.00,26.00,11.00,16.00,13.00,102.00
1.00,1.00,1.00,1.00,3.00,1.00,5.00,5.00,3.00,3.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,3.00,4.00,4.00,4.00,0.00,0.00,4.00,4.00,2.00,0.00,2.00,0.00,4.00,4.00,0.00,0.00,4.00,2.00,8.00,23.00,1.00,13.00,16.00,12.00,73.00
2.00,4.00,1.00,1.00,3.00,5.00,4.00,5.00,4.00,5.00,3.00,4.00,4.00,4.00,0.00,4.00,0.00,1.00,2.00,4.00,4.00,1.00,4.00,2.00,2.00,3.00,4.00,2.00,4.00,3.00,0.00,3.00,2.00,4.00,1.00,2.00,0.00,4.00,2.00,0.00,2.00,3.00,2.00,16.00,25.00,28.00,13.00,19.00,11.00,112.00
4.00,4.00,1.00,1.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,3.00,4.00,2.00,4.00,2.00,1.00,3.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,4.00,4.00,2.00,1.00,4.00,3.00,18.00,23.00,39.00,14.00,33.00,15.00,142.00
